Player,Span,Matches,Innings,Balls,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
MR Gillespie (NZ),2006-2009,32,31,1521,1369,37,4/58,37.00,5.40,41.1,1,0,
EE Hemmings (ENG),1982-1991,33,32,1752,1294,37,4/52,34.97,4.43,47.3,1,0,
M Kartik (IND),2002-2007,37,36,1907,1612,37,6/27,43.56,5.07,51.5,0,1,
T Lungameni (NAM),2022-2023,22,22,1026,739,37,6/42,19.97,4.32,27.7,1,1,
KP Meiyappan (UAE),2019-2023,31,31,1208,1114,37,4/37,30.10,5.53,32.6,4,0,
SR Taylor (USA),2019-2023,45,40,1487,1124,37,4/23,30.37,4.53,40.1,1,0,
KS Williamson (NZ),2010-2023,161,65,1467,1310,37,4/22,35.40,5.35,39.6,1,0,
DS Airee (NEP),2018-2023,52,46,1814,1195,36,3/18,33.19,3.95,50.3,0,0,
HMCM Bandara (SL),2006-2010,31,28,1470,1232,36,4/31,34.22,5.02,40.8,2,0,
EAE Baptiste (WI),1983-1990,43,43,2214,1511,36,2/10,41.97,4.09,61.5,0,0,
Basil Hameed (UAE),2019-2023,37,30,1012,676,36,5/17,18.77,4.00,28.1,2,1,
MG Bevan (AUS),1994-2004,232,67,1966,1655,36,3/36,45.97,5.05,54.6,0,0,
JM Davison (CAN),2003-2011,32,31,1435,1067,36,3/15,29.63,4.46,39.8,0,0,
AIC Dodemaide (AUS),1988-1993,24,24,1327,753,36,5/21,20.91,3.40,36.8,1,1,
SB Doull (NZ),1992-2000,42,42,1745,1459,36,4/25,40.52,5.01,48.4,1,0,
GA Gooch (ENG),1976-1995,125,60,2066,1516,36,3/19,42.11,4.40,57.3,0,0,
S Randiv (SL),2009-2016,31,29,1437,1214,36,5/42,33.72,5.06,39.9,0,1,
Khurram Chohan (CAN),2009-2014,25,24,1186,1029,36,5/68,28.58,5.20,32.9,3,1,
A Nortje (SA),2019-2023,22,21,1006,982,36,4/51,27.27,5.85,27.9,3,0,
SK Raina (IND),2005-2018,226,101,2126,1811,36,3/34,50.30,5.11,59.0,0,0,
CAK Rajitha (SL),2018-2023,29,29,1293,1307,36,4/79,36.30,6.06,35.9,1,0,
DT Tiripano (ZIM),2014-2022,38,36,1508,1456,36,5/63,40.44,5.79,41.8,0,1,
I Wardlaw (SCOT),2013-2015,22,21,1108,1036,36,4/22,28.77,5.61,30.7,2,0,
CJ Chibhabha (ZIM),2005-2023,109,59,1679,1631,35,4/25,46.60,5.82,47.9,1,0,
M Hendrick (ENG),1973-1981,22,22,1248,681,35,5/31,19.45,3.27,35.6,2,1,
NC Johnson (ZIM),1998-2000,48,39,1503,1220,35,4/42,34.85,4.87,42.9,1,0,
Kaleemullah (OMA),2019-2023,39,39,1746,1289,35,3/43,36.82,4.42,49.8,0,0,
Naeem Islam (BAN),2008-2014,59,48,1743,1407,35,3/32,40.20,4.84,49.8,0,0,
CO Obuya (KENYA),2001-2014,104,49,1818,1637,35,5/24,46.77,5.40,51.9,0,1,
D Pretorius (SA),2016-2022,27,26,1144,947,35,4/36,27.05,4.96,32.6,1,0,
JJ Smit (NAM),2019-2022,29,25,1104,777,35,5/26,22.20,4.22,31.5,1,2,
LV van Beek (NED),2021-2023,26,26,1324,1166,35,4/24,33.31,5.28,37.8,2,0,
BA Williams (AUS),2002-2004,25,24,1203,814,35,5/22,23.25,4.05,34.3,1,2,
KJ Abbott (SA),2013-2016,28,27,1303,1051,34,4/21,30.91,4.83,38.3,2,0,
L Balaji (IND),2002-2009,30,30,1447,1344,34,4/48,39.52,5.57,42.5,1,0,
RD Berrington (SCOT),2008-2023,112,62,1550,1345,34,4/40,39.55,5.20,45.5,1,0,
TL Best (WI),2004-2014,26,26,1300,1157,34,4/35,34.02,5.34,38.2,2,0,
PKD Chase (IRE),2015-2018,25,24,1238,1356,34,3/33,39.88,6.57,36.4,0,0,
TK Curran (ENG),2017-2021,28,28,1308,1290,34,5/35,37.94,5.91,38.4,2,1,
JN Frylinck (NAM),2019-2023,28,27,1179,855,34,5/13,25.14,4.35,34.6,0,1,
OD Gibson (WI),1995-1997,15,15,739,621,34,5/40,18.26,5.04,21.7,2,2,
VB John (SL),1982-1987,45,45,2311,1655,34,3/28,48.67,4.29,67.9,0,0,
CBRLS Kumara (SL),2017-2023,26,26,1065,1141,34,3/22,33.55,6.42,31.3,0,0,
RDM Leverock (BER),2006-2009,32,32,1684,1123,34,5/53,33.02,4.00,49.5,0,1,
KMA Paul (WI),2018-2023,30,29,1253,1238,34,3/34,36.41,5.92,36.8,0,0,
RR Powar (IND),2004-2007,31,29,1536,1191,34,3/24,35.02,4.65,45.1,0,0,
JA Rennie (ZIM),1993-2000,44,43,1965,1564,34,3/27,46.00,4.77,57.7,0,0,
Tahir Naqqash (PAK),1980-1985,40,37,1596,1240,34,3/23,36.47,4.66,46.9,0,0,
Usman Shinwari (PAK),2017-2019,17,17,768,633,34,5/34,18.61,4.94,22.5,3,2,
Ali Khan (USA),2019-2023,15,15,681,542,33,7/32,16.42,4.77,20.6,0,2,
KCG Benjamin (WI),1992-1996,26,26,1319,923,33,3/34,27.96,4.19,39.9,0,0,
HK Bennett (NZ),2010-2020,19,18,892,820,33,4/16,24.84,5.51,27.0,3,0,
U Bhatti (CAN),2006-2010,36,35,1630,1149,33,4/45,34.81,4.22,49.3,1,0,
JG Bracewell (NZ),1983-1990,53,50,2447,1884,33,2/3,57.09,4.61,74.1,0,0,
Fazalhaq Farooqi (AFG),2022-2023,23,23,1014,949,33,4/49,28.75,5.61,30.7,2,0,
ST Gabriel (WI),2016-2019,25,25,1148,1134,33,3/17,34.36,5.92,34.7,0,0,
SI Kamea (PNG),2022-2023,22,21,1000,868,33,5/38,26.30,5.20,30.3,0,2,
YK Pathan (IND),2008-2012,57,50,1490,1365,33,3/49,41.36,5.49,45.1,0,0,
E Schiferli (NED),2002-2013,30,30,1294,1008,33,4/23,30.54,4.67,39.2,3,0,
Shabbir Ahmed (PAK),1999-2005,32,32,1642,1192,33,3/32,36.12,4.35,49.7,0,0,
Sikander Bakht (PAK),1977-1989,27,27,1277,860,33,4/34,26.06,4.04,38.6,1,0,
EO Simons (SA),1994-1995,23,23,1212,810,33,4/42,24.54,4.00,36.7,1,0,
Aayan Afzal Khan (UAE),2022-2023,25,25,1358,875,32,4/14,27.34,3.86,42.4,1,0,
CJA Amini (PNG),2014-2023,49,43,1706,1378,32,4/27,43.06,4.84,53.3,1,0,
SD Anurasiri (SL),1986-1994,45,43,2100,1464,32,3/40,45.75,4.18,65.6,0,0,
PP Chawla (IND),2007-2011,25,25,1312,1117,32,4/23,34.90,5.10,41.0,2,0,
AC Dale (AUS),1997-2000,30,30,1596,979,32,3/18,30.59,3.68,49.8,0,0,
DS de Silva (SL),1975-1985,41,40,2076,1557,32,3/29,48.65,4.50,64.8,0,0,
MJ Hoggard (ENG),2001-2006,26,26,1306,1152,32,5/49,36.00,5.29,40.8,0,1,
AJ Hollioake (ENG),1996-1999,35,32,1208,1019,32,4/23,31.84,5.06,37.7,2,0,
Imran Haider (UAE),2017-2019,20,20,943,841,32,4/25,26.28,5.35,29.4,2,0,
JM Kemp (Afr/SA),2001-2007,85,48,1303,1015,32,3/20,31.71,4.67,40.7,0,0,
FJ Klaassen (NED),2018-2023,19,19,1047,753,32,3/23,23.53,4.31,32.7,0,0,
Naseem Shah (PAK),2022-2023,14,14,695,543,32,5/33,16.96,4.68,21.7,0,2,
KTGD Prasad (SL),2006-2015,24,24,1015,976,32,3/17,30.50,5.76,31.7,0,0,
