Player,Span,Matches,Innings,Balls,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
PJ Wiseman (NZ),1998-2003,15,13,450,368,12,4/45,30.66,4.90,37.5,1,0,
Aamer Nazir (PAK),1993-1995,9,9,417,346,11,3/43,31.45,4.97,37.9,0,0,
VR Aaron (IND),2011-2014,9,9,380,419,11,3/24,38.09,6.61,34.5,0,0,
RW Ali (KENYA),1996-1997,9,9,338,255,11,3/17,23.18,4.52,30.7,0,0,
Amir Hayat (UAE),2018-2019,9,9,449,382,11,3/19,34.72,5.10,40.8,0,0,
LS Baker (WI),2008-2009,10,9,426,355,11,3/47,32.27,5.00,38.7,0,0,
R Clarke (ENG),2003-2006,20,14,469,415,11,2/28,37.72,5.30,42.6,0,0,
HT Davis (NZ),1994-1997,11,11,432,436,11,4/35,39.63,6.05,39.2,1,0,
N Dhamba (OMA),2021-2022,10,9,348,242,11,3/20,22.00,4.17,31.6,0,0,
Z Groenewald (NAM),2019-2019,4,4,198,130,11,5/20,11.81,3.93,18.0,0,1,
HF Gurney (ENG),2014-2014,10,10,455,432,11,4/55,39.27,5.69,41.3,1,0,
Haris Sohail (PAK),2013-2023,45,21,642,613,11,3/45,55.72,5.72,58.3,0,0,
Haseeb Amjad (HKG),2014-2016,7,7,342,288,11,3/49,26.18,5.05,31.0,0,0,
DW Headley (ENG),1996-1999,13,13,594,520,11,2/38,47.27,5.25,54.0,0,0,
HJ Howarth (NZ),1973-1975,9,8,492,280,11,3/29,25.45,3.41,44.7,0,0,
RL Johnson (ENG),2003-2003,10,9,402,239,11,3/22,21.72,3.56,36.5,0,0,
CL King (WI),1976-1980,18,15,744,529,11,4/23,48.09,4.26,67.6,1,0,
NM Kulkarni (IND),1997-1998,10,8,402,357,11,3/27,32.45,5.32,36.5,0,0,
RT Latham (NZ),1990-1994,33,21,450,386,11,5/32,35.09,5.14,40.9,0,1,
P Lever (ENG),1971-1975,10,9,440,261,11,4/35,23.72,3.55,40.0,1,0,
LS Livingstone (ENG),2021-2023,18,12,304,279,11,3/16,25.36,5.50,27.6,0,0,
CS MacLeod (SCOT),2008-2022,88,41,968,836,11,2/26,76.00,5.18,88.0,0,0,
AA Mallett (AUS),1971-1975,9,9,502,341,11,3/34,31.00,4.07,45.6,0,0,
MF Malone (AUS),1977-1982,10,10,612,315,11,2/9,28.63,3.08,55.6,0,0,
A Martin (WI),2011-2011,9,9,444,296,11,4/36,26.90,4.00,40.3,1,0,
EZ Matambanadzo (ZIM),1996-1997,7,7,297,217,11,4/32,19.72,4.38,27.0,1,0,
M Mbangwa (ZIM),1996-2002,29,29,1369,1140,11,2/24,103.63,4.99,124.4,0,0,
DR Parry (WI),1978-1980,6,6,330,259,11,3/47,23.54,4.70,30.0,0,0,
RL Powell (WI),1999-2005,109,25,473,491,11,2/5,44.63,6.22,43.0,0,0,
TT Samaraweera (SL),1998-2011,53,17,702,542,11,3/34,49.27,4.63,63.8,0,0,
Shafiuddin Ahmed (BAN),1997-2000,11,11,495,426,11,3/42,38.72,5.16,45.0,0,0,
K Sinclair (WI),2022-2023,7,7,381,282,11,4/24,25.63,4.44,34.6,2,0,
Soumya Sarkar (BAN),2014-2023,63,19,412,402,11,3/56,36.54,5.85,37.4,0,0,
JTS Sumerauer (JER),2023-2023,5,5,294,245,11,4/51,22.27,5.00,26.7,1,0,
Usama Mir (PAK),2023-2023,8,8,426,386,11,4/43,35.09,5.43,38.7,1,0,
DLS van Bunge (NED),2002-2013,37,13,331,329,11,3/16,29.90,5.96,30.0,0,0,
A van der Merwe (IRE),2010-2011,9,9,432,323,11,5/49,29.36,4.48,39.2,0,1,
AS Wassan (IND),1990-1991,9,9,426,283,11,3/28,25.72,3.98,38.7,0,0,
M Zondeki (Afr/SA),2002-2008,13,12,558,504,11,2/40,45.81,5.41,50.7,0,0,
Ali Naseer (UAE),2023-2023,9,9,422,396,10,2/37,39.60,5.63,42.2,0,0,
MW Alleyne (ENG),1999-2000,10,9,366,280,10,3/27,28.00,4.59,36.6,0,0,
MA Aponso (SL),2016-2018,9,9,423,377,10,4/18,37.70,5.34,42.3,1,0,
TD Astle (NZ),2017-2019,9,8,270,246,10,3/33,24.60,5.46,27.0,0,0,
S Bau (PNG),2016-2023,57,23,710,576,10,2/35,57.60,4.86,71.0,0,0,
DJ Callaghan (SA),1992-2000,29,19,444,365,10,3/32,36.50,4.93,44.4,0,0,
A Codrington (CAN),2003-2007,9,8,300,265,10,5/27,26.50,5.30,30.0,0,1,
M de Lange (SA),2012-2016,4,4,209,198,10,4/46,19.80,5.68,20.9,1,0,
R Dhanraj (WI),1994-1995,6,5,264,170,10,4/26,17.00,3.86,26.4,1,0,
NT Ellis (AUS),2022-2023,8,8,384,382,10,2/13,38.20,5.96,38.4,0,0,
MW Gatting (ENG),1977-1993,92,14,392,336,10,3/32,33.60,5.14,39.2,0,0,
Jay Odedra (OMA),2019-2023,9,9,348,258,10,4/34,25.80,4.44,34.8,1,0,
NG Jones (IRE),2010-2011,14,13,389,234,10,2/19,23.40,3.60,38.9,0,0,
RR Kulkarni (IND),1983-1987,10,10,444,345,10,3/42,34.50,4.66,44.4,0,0,
DK Liyanage (SL),1992-2001,16,16,642,510,10,3/49,51.00,4.76,64.2,0,0,
JN Loftie-Eaton (NAM),2021-2023,32,16,338,285,10,3/54,28.50,5.05,33.8,0,0,
Mohammad Sharif (BAN),2001-2007,9,9,499,424,10,3/40,42.40,5.09,49.9,0,0,
Mohammad Zahid (PAK),1996-2002,11,11,512,391,10,2/20,39.10,4.58,51.2,0,0,
D Mohammed (WI),2006-2008,7,6,353,235,10,3/37,23.50,3.99,35.3,0,0,
PWA Mulder (SA),2017-2021,12,12,354,341,10,2/59,34.10,5.77,35.4,0,0,
Naimur Rahman (BAN),1995-2002,29,24,1094,904,10,2/51,90.40,4.95,109.4,0,0,
RJ Nicol (NZ),2011-2013,22,17,339,329,10,4/19,32.90,5.82,33.9,1,0,
H Patel (CAN),2009-2013,23,16,409,353,10,4/28,35.30,5.17,40.9,1,0,
IH Romaine (BER),2006-2009,35,13,326,355,10,2/22,35.50,6.53,32.6,0,0,
KR Rutherford (NZ),1985-1995,121,17,389,323,10,2/39,32.30,4.98,38.9,0,0,
RL Sanghvi (IND),1998-1998,10,10,498,399,10,3/29,39.90,4.80,49.8,0,0,
Sanuar Hossain (BAN),1998-2003,27,13,383,327,10,3/49,32.70,5.12,38.3,0,0,
G Sharma (IND),1985-1987,11,10,486,361,10,3/29,36.10,4.45,48.6,0,0,
SM Sharma (UAE),2023-2023,8,8,288,274,10,3/37,27.40,5.70,28.8,0,0,
OF Smith (WI),2022-2023,9,9,283,261,10,2/26,26.10,5.53,28.3,0,0,
TB Sole (SCOT),2018-2019,10,10,504,387,10,4/15,38.70,4.60,50.4,1,0,
MN Waller (ZIM),2009-2018,79,30,666,566,10,2/44,56.60,5.09,66.6,0,0,
Ziaur Rahman (BAN),2013-2014,13,11,390,301,10,5/30,30.10,4.63,39.0,0,1,
KN Amalean (SL),1986-1988,8,8,318,207,9,4/46,23.00,3.90,35.3,1,0,
MKDI Amerasinghe (SL),2007-2008,8,8,426,363,9,3/44,40.33,5.11,47.3,0,0,
Amjad Javed (UAE),2008-2017,15,15,618,608,9,3/60,67.55,5.90,68.6,0,0,
ML Cummins (WI),2014-2017,11,9,450,474,9,3/82,52.66,6.32,50.0,0,0,
KM Curran (ZIM),1983-1987,11,10,506,398,9,3/65,44.22,4.71,56.2,0,0,
MH Dekker (ZIM),1992-1996,23,12,347,290,9,2/16,32.22,5.01,38.5,0,0,
GRA de Silva (SL),1975-1982,6,6,305,262,9,3/41,29.11,5.15,33.8,0,0,
PLS Gamage (SL),2014-2017,9,9,402,392,9,4/57,43.55,5.85,44.6,1,0,
BD Glover (NED),2019-2023,9,9,438,444,9,3/43,49.33,6.08,48.6,0,0,
MP Jarvis (ZIM),1987-1995,12,12,601,451,9,2/37,50.11,4.50,66.7,0,0,
Javed Ahmadi (AFG),2010-2021,47,19,452,363,9,4/37,40.33,4.81,50.2,1,0,
P Khadka (NEP),2018-2020,10,9,372,243,9,4/26,27.00,3.91,41.3,1,0,
Khaliq Dad (AFG),2009-2010,6,6,252,150,9,3/30,16.66,3.57,28.0,0,0,
RJ Kirtley (ENG),2001-2004,11,11,549,481,9,2/33,53.44,5.25,61.0,0,0,
T Kumaran (IND),1999-2000,8,8,378,348,9,3/24,38.66,5.52,42.0,0,0,
RP Lefebvre (NED),1996-2003,11,11,534,346,9,2/38,38.44,3.88,59.3,0,0,
AS Luseno (KENYA),2003-2010,10,10,330,316,9,4/32,35.11,5.74,36.6,1,0,
MW Machan (SCOT),2013-2016,23,16,402,384,9,3/31,42.66,5.73,44.6,0,0,
Mohammad Kashif (NED),2006-2010,11,11,450,410,9,3/42,45.55,5.46,50.0,0,0,
Mohammad Shahzad (UAE),2014-2016,6,6,240,233,9,4/26,25.88,5.82,26.6,1,0,
Mohammad Tauqir (UAE),2004-2015,11,11,491,383,9,2/38,42.55,4.68,54.5,0,0,
DT Mutendera (ZIM),1999-2001,9,9,390,334,9,3/23,37.11,5.13,43.3,0,0,
JL Ontong (Afr/SA),2001-2012,28,16,538,396,9,3/30,44.00,4.41,59.7,0,0,
CW Perchard (JER),2023-2023,5,5,270,208,9,3/38,23.11,4.62,30.0,0,0,
TG Shaw (SA),1991-1994,9,9,504,298,9,2/19,33.11,3.54,56.0,0,0,
TAM Siriwardana (SL),2015-2019,27,21,601,547,9,2/27,60.77,5.46,66.7,0,0,
S Sriram (IND),2000-2004,8,8,324,274,9,3/43,30.44,5.07,36.0,0,0,
ML Su'a (NZ),1992-1995,12,12,463,367,9,4/59,40.77,4.75,51.4,1,0,
BRM Taylor (ZIM),2004-2021,205,21,396,406,9,3/54,45.11,6.15,44.0,0,0,
SD Udal (ENG),1994-2005,11,11,612,400,9,2/37,44.44,3.92,68.0,0,0,
JD Unadkat (IND),2013-2023,8,8,342,225,9,4/41,25.00,3.94,38.0,1,0,
RM West (IRE),2008-2009,10,9,447,279,9,4/26,31.00,3.74,49.6,1,0,
HS Williams (SA),1999-2000,7,7,329,228,9,3/38,25.33,4.15,36.5,0,0,
KOK Williams (WI),2017-2018,8,7,330,293,9,4/43,32.55,5.32,36.6,1,0,
B Wood (ENG),1972-1982,13,10,420,224,9,2/14,24.88,3.20,46.6,0,0,
RA Woolmer (ENG),1972-1976,6,6,321,260,9,3/33,28.88,4.85,35.6,0,0,
Abdur Rauf (PAK),2008-2008,4,4,214,212,8,3/24,26.50,5.94,26.7,0,0,
RG Aga (KENYA),2004-2014,12,11,402,320,8,2/17,40.00,4.77,50.2,0,0,
SL Campbell (WI),1994-2001,90,8,196,170,8,4/30,21.25,5.20,24.5,1,0,
RP de Groen (NZ),1993-1994,12,12,549,478,8,2/34,59.75,5.22,68.6,0,0,
Dolar Mahmud (BAN),2008-2009,7,7,210,258,8,4/28,32.25,7.37,26.2,1,0,
SF Graf (AUS),1980-1981,11,10,522,345,8,2/23,43.12,3.96,65.2,0,0,
EJ Gray (NZ),1984-1988,10,9,386,286,8,2/26,35.75,4.44,48.2,0,0,
MD Gunathilaka (SL),2015-2022,47,22,402,371,8,3/48,46.37,5.53,50.2,0,0,
Hasan Jamil (PAK),1977-1978,6,5,232,154,8,3/18,19.25,3.98,29.0,0,0,
Hazrat Bilal (UAE),2022-2023,7,7,270,212,8,4/47,26.50,4.71,33.7,1,0,
MC Henriques (AUS),2009-2021,16,12,402,347,8,3/32,43.37,5.17,50.2,0,0,
BC Hollioake (ENG),1997-2002,20,17,642,532,8,2/37,66.50,4.97,80.2,0,0,
Irfan Ahmed (HKG),2008-2014,6,6,290,299,8,3/51,37.37,6.18,36.2,0,0,
Izatullah Dawlatzai (AFG),2010-2015,5,5,210,146,8,4/38,18.25,4.17,26.2,1,0,
DPMD Jayawardene (Asia/SL),1998-2015,448,28,593,563,8,2/56,70.37,5.69,74.1,0,0,
MO Jones (BER),2006-2007,12,12,458,482,8,2/25,60.25,6.31,57.2,0,0,
AR Kapoor (IND),1995-2000,17,17,900,612,8,2/33,76.50,4.08,112.5,0,0,
JF Kloppenburg (NED),2002-2003,6,6,242,191,8,4/42,23.87,4.73,30.2,1,0,
MKGCP Lakshitha (SL),2002-2003,7,7,300,254,8,2/34,31.75,5.08,37.5,0,0,
TJ Laughlin (AUS),1978-1979,6,6,308,224,8,3/54,28.00,4.36,38.5,0,0,
CH Lloyd (WI),1973-1985,87,10,358,210,8,2/4,26.25,3.51,44.7,0,0,
ACI Lock (ZIM),1996-1996,8,7,289,219,8,5/44,27.37,4.54,36.1,0,1,
JN Mohammed (WI),2011-2021,36,16,440,340,8,3/47,42.50,4.63,55.0,0,0,
JFM Morrison (NZ),1975-1983,18,7,283,199,8,3/24,24.87,4.21,35.3,0,0,
Naved Anjum (PAK),1984-1992,13,12,472,344,8,2/27,43.00,4.37,59.0,0,0,
Nawroz Mangal (AFG),2009-2016,49,16,293,235,8,3/35,29.37,4.81,36.6,0,0,
NM Odhiambo (KENYA),2010-2013,8,7,318,256,8,3/48,32.00,4.83,39.7,0,0,
AA Paradkar (USA),2021-2023,4,4,144,159,8,4/26,19.87,6.62,18.0,1,0,
SG Peall (ZIM),1992-1996,21,19,900,678,8,3/54,84.75,4.52,112.5,0,0,
V Permaul (WI),2012-2017,7,7,331,271,8,3/40,33.87,4.91,41.3,0,0,
GD Phillips (NZ),2022-2023,22,12,252,266,8,2/17,33.25,6.33,31.5,0,0,
MW Priest (NZ),1990-1998,18,17,752,590,8,2/27,73.75,4.70,94.0,0,0,
Qadeer Ahmed (UAE),2015-2019,11,11,516,467,8,2/38,58.37,5.43,64.5,0,0,
D Ravu (PNG),2017-2022,18,17,648,574,8,2/19,71.75,5.31,81.0,0,0,
HP Rinke (ZIM),2006-2006,18,12,277,273,8,2/11,34.12,5.91,34.6,0,0,
GR Robertson (AUS),1994-1998,13,13,597,430,8,3/29,53.75,4.32,74.6,0,0,
GA Rogers (SCOT),2006-2008,13,11,512,409,8,2/22,51.12,4.79,64.0,0,0,
Saad Bin Zafar (CAN),2023-2023,5,5,270,215,8,3/43,26.87,4.77,33.7,0,0,
Saqib Zulfiqar (NED),2019-2023,14,11,294,311,8,2/43,38.87,6.34,36.7,0,0,
RG Sharma (IND),2007-2023,253,38,593,515,8,2/27,64.37,5.21,74.1,0,0,
OP Stone (ENG),2018-2023,8,7,318,317,8,4/85,39.62,5.98,39.7,1,0,
AM Stuart (AUS),1997-1997,3,3,180,109,8,5/26,13.62,3.63,22.5,0,1,
CEL Stuart (WI),2001-2001,5,5,258,205,8,5/44,25.62,4.76,32.2,0,1,
RJ van Vuuren (NAM),2003-2003,5,5,300,298,8,5/43,37.25,5.96,37.5,0,1,
BGK Walker (NZ),2000-2002,11,11,438,417,8,2/43,52.12,5.71,54.7,0,0,
B Warnapura (SL),1975-1982,12,9,414,316,8,3/42,39.50,4.57,51.7,0,0,
VJ Wells (ENG),1999-1999,9,8,220,189,8,3/30,23.62,5.15,27.5,0,0,
BM Wheeler (NZ),2015-2015,6,6,309,315,8,3/63,39.37,6.11,38.6,0,0,
SG Whittingham (SCOT),2017-2019,5,5,251,224,8,3/58,28.00,5.35,31.3,0,0,
RGCE Wijesuriya (SL),1982-1985,8,8,312,287,8,2/25,35.87,5.51,39.0,0,0,
NS Yadav (IND),1986-1987,7,7,330,228,8,2/18,28.50,4.14,41.2,0,0,
Zawar Farid (UAE),2020-2023,10,7,201,187,8,4/30,23.37,5.58,25.1,1,0,
S Abid Ali (IND),1974-1975,5,5,336,187,7,2/22,26.71,3.33,48.0,0,0,
FA Allen (WI),2018-2022,20,18,666,627,7,2/40,89.57,5.64,95.1,0,0,
Aminul Islam (BAN),1988-2002,39,19,412,411,7,3/57,58.71,5.98,58.8,0,0,
Asif Mujtaba (PAK),1986-1996,66,28,756,658,7,2/38,94.00,5.22,108.0,0,0,
KBJ Azad (IND),1980-1986,25,11,390,273,7,2/48,39.00,4.20,55.7,0,0,
Azmatullah Omarzai (AFG),2021-2023,15,15,466,397,7,1/9,56.71,5.11,66.5,0,0,
SB Bangar (IND),2002-2004,15,14,442,384,7,2/39,54.85,5.21,63.1,0,0,
OAC Banks (WI),2003-2005,5,5,270,189,7,2/24,27.00,4.20,38.5,0,0,
BS Bedi (IND),1974-1979,10,10,590,340,7,2/44,48.57,3.45,84.2,0,0,
RE Bryson (SA),1997-1997,7,7,378,323,7,2/34,46.14,5.12,54.0,0,0,
BE Congdon (NZ),1973-1978,11,10,437,287,7,2/17,41.00,3.94,62.4,0,0,
GJ Crocker (ZIM),1992-1993,6,6,238,208,7,4/26,29.71,5.24,34.0,1,0,
GJ Delany (IRE),2020-2023,21,13,390,410,7,2/52,58.57,6.30,55.7,0,0,
AB de Villiers (Afr/SA),2005-2018,228,9,192,202,7,2/15,28.85,6.31,27.4,0,0,
JA Duffy (NZ),2022-2023,3,3,160,204,7,3/52,29.14,7.65,22.8,0,0,
DAG Fletcher (ZIM),1983-1983,6,6,301,221,7,4/42,31.57,4.40,43.0,1,0,
SC Getkate (IRE),2019-2021,4,4,192,145,7,2/30,20.71,4.53,27.4,0,0,
AS Hansra (CAN),2010-2014,24,18,445,413,7,3/27,59.00,5.56,63.5,0,0,
CW Henderson (SA),2001-2001,4,4,217,132,7,4/17,18.85,3.64,31.0,1,0,
AG Huckle (ZIM),1997-1999,19,18,858,661,7,2/27,94.42,4.62,122.5,0,0,
Javed Miandad (PAK),1975-1996,233,12,436,297,7,2/22,42.42,4.08,62.2,0,0,
SP Jones (ENG),2004-2005,8,7,348,275,7,2/43,39.28,4.74,49.7,0,0,
Kaleem Sana (CAN),2023-2023,5,5,252,207,7,3/14,29.57,4.92,36.0,0,0,
Kamran Shazad (UAE),2014-2015,4,4,222,209,7,3/41,29.85,5.64,31.7,0,0,
JJ Krejza (AUS),2011-2011,8,8,425,331,7,2/28,47.28,4.67,60.7,0,0,
Krishna Chandran (UAE),2014-2016,12,11,418,431,7,3/45,61.57,6.18,59.7,0,0,
ML Lewis (AUS),2005-2006,7,7,341,391,7,3/56,55.85,6.87,48.7,0,0,
Mahbubul Alam (BAN),2009-2009,5,5,222,280,7,2/42,40.00,7.56,31.7,0,0,
B Mavuta (ZIM),2018-2023,9,8,306,293,7,2/30,41.85,5.74,43.7,0,0,
Mominul Haque (BAN),2012-2018,28,12,234,190,7,2/13,27.14,4.87,33.4,0,0,
EA Moseley (WI),1990-1991,9,8,330,278,7,2/52,39.71,5.05,47.1,0,0,
CT Mumba (ZIM),2016-2020,7,7,272,326,7,3/69,46.57,7.19,38.8,0,0,
C Munro (NZ),2013-2019,57,25,552,481,7,2/10,68.71,5.22,78.8,0,0,
CT Mutombodzi (ZIM),2013-2020,14,11,371,359,7,2/33,51.28,5.80,53.0,0,0,
T Muzarabani (ZIM),2015-2016,8,8,323,262,7,2/32,37.42,4.86,46.1,0,0,
VM Nyauchi (ZIM),2022-2023,10,10,402,353,7,2/65,50.42,5.26,57.4,0,0,
AK Patel (IND),1984-1985,8,6,360,263,7,3/43,37.57,4.38,51.4,0,0,
KP Pietersen (ENG/ICC),2004-2013,136,23,400,370,7,2/22,52.85,5.55,57.1,0,0,
AM Samad (CAN),2003-2009,27,14,235,281,7,1/8,40.14,7.17,33.5,0,0,
KD Shah (HKG),2014-2018,10,3,110,79,7,4/10,11.28,4.30,15.7,1,0,
OA Shah (ENG),2001-2009,71,10,193,184,7,3/15,26.28,5.72,27.5,0,0,
Shahid Mahboob (PAK),1982-1984,10,10,540,382,7,1/23,54.57,4.24,77.1,0,0,
BB Sran (IND),2016-2016,6,6,302,269,7,3/56,38.42,5.34,43.1,0,0,
B Stanlake (AUS),2017-2019,7,7,354,324,7,3/35,46.28,5.49,50.5,0,0,
GB Stevenson (ENG),1980-1981,4,4,192,125,7,4/33,17.85,3.90,27.4,1,0,
CP Tremain (AUS),2016-2016,4,4,240,255,7,3/64,36.42,6.37,34.2,0,0,
TE Tucker (BER),2008-2009,5,5,174,157,7,4/56,22.42,5.41,24.8,1,0,
Vikramjit Singh (NED),2022-2023,27,11,192,194,7,2/12,27.71,6.06,27.4,0,0,
SL Watkin (ENG),1994-1994,4,4,221,193,7,4/49,27.57,5.23,31.5,1,0,
Yamin Ahmadzai (AFG),2015-2022,9,8,340,304,7,2/34,43.42,5.36,48.5,0,0,
B Yardley (AUS),1978-1983,7,5,198,130,7,3/28,18.57,3.93,28.2,0,0,
Zaheer Abbas (PAK),1974-1985,62,12,280,223,7,2/26,31.85,4.77,40.0,0,0,
Mohammad Aadil Alam (NEP),2022-2022,6,6,264,166,6,3/31,27.66,3.77,44.0,0,0,
Aarif Sheikh (NEP),2018-2023,48,26,669,529,6,1/16,88.16,4.74,111.5,0,0,
CN Ackermann (NED),2021-2023,9,9,336,284,6,2/39,47.33,5.07,56.0,0,0,
Aryan Lakra (UAE),2022-2023,16,12,318,280,6,3/38,46.66,5.28,53.0,0,0,
Athar Ali Khan (BAN),1988-1998,19,15,420,365,6,2/33,60.83,5.21,70.0,0,0,
ID Austin (ENG),1998-1999,9,9,475,360,6,2/25,60.00,4.54,79.1,0,0,
Azhar Saeed (UAE),1994-1996,7,7,271,213,6,3/45,35.50,4.71,45.1,0,0,
IR Bell (ENG),2004-2015,161,6,88,88,6,3/9,14.66,6.00,14.6,0,0,
Bilawal Bhatti (PAK),2013-2015,10,10,409,439,6,3/37,73.16,6.44,68.1,0,0,
GE Bradburn (NZ),1990-2001,11,10,385,318,6,2/18,53.00,4.95,64.1,0,0,
LJ Burger (NAM),2003-2003,6,6,330,297,6,3/39,49.50,5.40,55.0,0,0,
DDP D'Silva (UAE),2019-2020,6,5,186,118,6,3/22,19.66,3.80,31.0,0,0,
N Deonarine (WI),2005-2015,31,20,501,475,6,2/18,79.16,5.68,83.5,0,0,
LHD Dilhara (SL),2005-2013,9,8,330,261,6,2/30,43.50,4.74,55.0,0,0,
SF Dukanwala (UAE),1996-1996,5,4,198,153,6,5/29,25.50,4.63,33.0,0,1,
Fahad Alhashmi (UAE),2008-2015,5,5,224,202,6,2/39,33.66,5.41,37.3,0,0,
KHRK Fernando (SL),2002-2006,7,7,234,159,6,3/12,26.50,4.07,39.0,0,0,
BC Fortuin (SA),2020-2023,5,4,186,175,6,2/46,29.16,5.64,31.0,0,0,
S Fouche (NAM),2023-2023,7,5,156,130,6,3/46,21.66,5.00,26.0,0,0,
RO Hinds (WI),2001-2004,14,12,407,350,6,2/19,58.33,5.15,67.8,0,0,
Imran Farhat (PAK),2001-2013,58,8,116,110,6,3/10,18.33,5.68,19.3,0,0,
JNT Seales (WI),2022-2023,10,10,439,445,6,1/21,74.16,6.08,73.1,0,0,
MMA Jonkman (NED),2007-2010,4,4,136,113,6,3/22,18.83,4.98,22.6,0,0,
Karim Sadiq (AFG),2009-2016,24,12,320,201,6,2/10,33.50,3.76,53.3,0,0,
J Kila (PNG),2018-2022,13,8,229,200,6,3/27,33.33,5.24,38.1,0,0,
PN Kirsten (SA),1991-1994,40,8,183,152,6,3/31,25.33,4.98,30.5,0,0,
MP Kuhnemann (AUS),2022-2022,4,4,228,191,6,2/26,31.83,5.02,38.0,0,0,
BP Loots (NED),2010-2011,7,7,280,287,6,3/16,47.83,6.15,46.6,0,0,
PE McEwan (NZ),1980-1985,17,10,420,353,6,2/29,58.83,5.04,70.0,0,0,
SCG MacGill (AUS),2000-2000,3,3,180,105,6,4/19,17.50,3.50,30.0,1,0,
KO Meth (ZIM),2006-2012,11,9,406,419,6,2/52,69.83,6.19,67.6,0,0,
PL Mommsen (SCOT),2010-2017,44,6,132,130,6,3/26,21.66,5.90,22.0,0,0,
Muhammad Jawadullah (UAE),2023-2023,5,5,223,239,6,3/46,39.83,6.43,37.1,0,0,
EO Odumbe (KENYA),1996-1996,8,7,137,137,6,2/8,22.83,6.00,22.8,0,0,
TK Patel (USA),2019-2020,7,6,234,150,6,2/25,25.00,3.84,39.0,0,0,
K Phillip (USA),2021-2023,5,5,243,245,6,3/43,40.83,6.04,40.5,0,0,
N Pooran (WI),2019-2023,61,7,169,174,6,4/48,29.00,6.17,28.1,1,0,
RA Reifer (WI),2019-2023,6,5,161,149,6,2/23,24.83,5.55,26.8,0,0,
MJR Rindel (SA),1994-1999,22,12,270,242,6,2/15,40.33,5.37,45.0,0,0,
GK Robertson (NZ),1981-1989,10,10,498,321,6,2/29,53.50,3.86,83.0,0,0,
BG Rogers (ZIM),2002-2005,15,9,324,321,6,2/55,53.50,5.94,54.0,0,0,
Saeed Anwar (PAK),1989-2003,247,13,242,191,6,2/9,31.83,4.73,40.3,0,0,
Saiful Islam (BAN),1990-1997,7,7,303,256,6,4/36,42.66,5.06,50.5,1,0,
NA Saini (IND),2019-2021,8,8,420,481,6,2/58,80.16,6.87,70.0,0,0,
R Sharma (IND),2011-2012,4,4,206,177,6,3/43,29.50,5.15,34.3,0,0,
CEW Silverwood (ENG),1996-2001,7,7,306,244,6,3/43,40.66,4.78,51.0,0,0,
G Singh (USA),2021-2023,32,5,113,95,6,4/15,15.83,5.04,18.8,1,0,
NMK Smith (ENG),1996-1996,7,6,261,190,6,3/29,31.66,4.36,43.5,0,0,
G Snyman (NAM),2003-2003,5,5,288,281,6,3/69,46.83,5.85,48.0,0,0,
JH Stander (SCOT),2009-2012,5,4,150,166,6,2/25,27.66,6.64,25.0,0,0,
DA Stirling (NZ),1984-1984,6,6,246,207,6,2/29,34.50,5.04,41.0,0,0,
Talha Jubair (BAN),2002-2003,6,6,204,255,6,4/65,42.50,7.50,34.0,1,0,
H Thaker (CAN),2023-2023,5,5,258,144,6,2/27,24.00,3.34,43.0,0,0,
HP Tillakaratne (SL),1986-2003,200,15,180,141,6,1/3,23.50,4.70,30.0,0,0,
AC Voges (AUS),2007-2013,31,15,301,276,6,1/3,46.00,5.50,50.1,0,0,
B Ward (JER),2023-2023,5,5,241,221,6,4/39,36.83,5.50,40.1,1,0,
KPJ Warnaweera (SL),1990-1993,6,6,294,200,6,2/24,33.33,4.08,49.0,0,0,
K Weeraratne (SL),2000-2008,15,14,480,385,6,3/46,64.16,4.81,80.0,0,0,
Jai P Yadav (IND),2002-2005,12,10,396,326,6,2/32,54.33,4.93,66.0,0,0,
Zahid Shah (UAE),2008-2008,2,2,120,98,6,3/49,16.33,4.90,20.0,0,0,
Abu Jayed (BAN),2019-2019,2,2,108,114,5,5/58,22.80,6.33,21.6,0,1,
Rehan Ahmed (ENG),2023-2023,3,2,120,116,5,4/54,23.20,5.80,24.0,1,0,
KIC Asalanka (SL),2021-2023,43,9,145,111,5,4/18,22.20,4.59,29.0,1,0,
Asif Masood (PAK),1973-1976,7,7,402,234,5,2/9,46.80,3.49,80.4,0,0,
ST Banerjee (IND),1991-1992,6,6,240,202,5,3/30,40.40,5.05,48.0,0,0,
GJ Batty (ENG),2002-2009,10,9,440,366,5,2/40,73.20,4.99,88.0,0,0,
A Bhandari (IND),2000-2004,2,2,106,106,5,3/31,21.20,6.00,21.2,0,0,
Bikram Sob (NEP),2021-2022,5,5,127,115,5,2/20,23.00,5.43,25.4,0,0,
Bilal Asif (PAK),2015-2015,3,3,132,96,5,5/25,19.20,4.36,26.4,0,1,
K Birkenstock (NAM),2019-2023,20,11,246,264,5,2/24,52.80,6.43,49.2,0,0,
G Boycott (ENG),1971-1981,36,6,168,105,5,2/14,21.00,3.75,33.6,0,0,
D Brown (WI),2001-2002,3,3,150,124,5,3/21,24.80,4.96,30.0,0,0,
MG Burmester (ZIM),1992-1995,8,7,209,213,5,3/36,42.60,6.11,41.8,0,0,
IW Callen (AUS),1978-1982,5,4,180,148,5,3/24,29.60,4.93,36.0,0,0,
